y,C,CMatrix,theta,thetaMatrix
0.0965,1,1,0.0004999,0.262984
0.0975,1,1,0.0004999,0.262984
0.0985,1,1,0.0004999,0.262984
0.0995,1,1,0.0004999,0.262984
0.1005,1,1,0.0004999,0.262984
0.1015,1,1,0.0004999,0.262984
0.1025,1,1,0.0004999,0.262984
0.1035,1,1,0.0004999,0.262984
0.1045,1,1,0.0004999,0.262984
0.1055,1,1,0.0004999,0.262984
0.1065,1,1,0.0004999,0.262984
0.1075,0.999827,1,0.000499902,0.262984
0.1085,0.932586,0.999997,0.000500081,0.262984
0.1095,0.401825,0.999928,0.000516143,0.262984
0.1105,0.343336,0.999803,0.000890659,0.262988
0.1115,0.323662,0.999636,0.00175015,0.263008
0.1125,0.311735,0.999376,0.002593,0.263064
0.1135,0.302525,0.998998,0.00329878,0.263164
0.1145,0.294691,0.998508,0.00388904,0.263304
0.1155,0.287734,0.997919,0.00439881,0.263478
0.1165,0.281408,0.997239,0.00485184,0.263683
0.1175,0.275561,0.99648,0.00526312,0.263915
0.1185,0.270091,0.995648,0.00564236,0.264172
0.1195,0.264927,0.99475,0.00599614,0.26445
0.1205,0.260018,0.993791,0.00632912,0.264749
0.1215,0.255327,0.992777,0.00664466,0.265065
0.1225,0.250826,0.991713,0.00694533,0.265398
0.1235,0.246495,0.990601,0.00723308,0.265746
0.1245,0.242319,0.989445,0.00750946,0.266107
0.1255,0.238286,0.98825,0.00777571,0.266482
0.1265,0.234384,0.987017,0.00803283,0.266868
0.1275,0.230605,0.98575,0.00828167,0.267265
0.1285,0.226941,0.984452,0.00852291,0.267673
0.1295,0.223387,0.983124,0.00875715,0.268089
0.1305,0.219935,0.981769,0.0089849,0.268514
0.1315,0.216581,0.980388,0.0092066,0.268947
0.1325,0.21332,0.978985,0.00942262,0.269387
0.1335,0.210146,0.977561,0.0096333,0.269833
0.1345,0.207057,0.976117,0.00983893,0.270286
0.1355,0.204049,0.974655,0.0100398,0.270745
0.1365,0.201117,0.973177,0.0102361,0.271208
0.1375,0.198259,0.971683,0.0104281,0.271676
0.1385,0.195472,0.970177,0.0106159,0.272149
