z,theta
135.2305,0.0982292063027
135.2355,0.098228877325
135.2405,0.0982285546158
135.2455,0.0982282380558
135.2505,0.0982279275279
135.2555,0.0982276229171
135.2605,0.0982273241107
135.2655,0.0982270309982
135.2705,0.098226743471
135.2755,0.098226461423
135.2805,0.0982261847495
135.2855,0.0982259133484
135.2905,0.098225647119
135.2955,0.098225385963
135.3005,0.0982251297837
135.3055,0.0982248784863
135.3105,0.0982246319777
135.3155,0.0982243901668
135.3205,0.098224152964
135.3255,0.0982239202816
135.3305,0.0982236920335
135.3355,0.0982234681351
135.3405,0.0982232485037
135.3455,0.0982230330579
135.3505,0.0982228217179
135.3555,0.0982226144056
135.3605,0.0982224110443
135.3655,0.0982222115586
135.3705,0.0982220158747
135.3755,0.0982218239202
135.3805,0.098221635624
135.3855,0.0982214509164
135.3905,0.0982212697291
135.3955,0.098221091995
135.4005,0.0982209176482
135.4055,0.0982207466243
135.4105,0.0982205788599
135.4155,0.098220414293
135.4205,0.0982202528625
135.4255,0.0982200945088
135.4305,0.0982199391732
135.4355,0.0982197867982
135.4405,0.0982196373274
135.4455,0.0982194907054
135.4505,0.098219346878
135.4555,0.098219205792
135.4605,0.098219067395
135.4655,0.0982189316358
135.4705,0.0982187984642
135.4755,0.0982186678308
135.4805,0.0982185396874
135.4855,0.0982184139864
135.4905,0.0982182906813
135.4955,0.0982181697264
135.5005,0.0982180510769
135.5055,0.098217934689
135.5105,0.0982178205195
135.5155,0.0982177085261
135.5205,0.0982175986674
135.5255,0.0982174909027
135.5305,0.098217385192
135.5355,0.0982172814963
135.5405,0.0982171797771
135.5455,0.0982170799967
135.5505,0.0982169821182
135.5555,0.0982168861054
135.5605,0.0982167919227
135.5655,0.0982166995352
135.5705,0.0982166089086
135.5755,0.0982165200095
135.5805,0.0982164328049
135.5855,0.0982163472625
135.5905,0.0982162633507
135.5955,0.0982161810382
135.6005,0.0982161002947
135.6055,0.0982160210903
135.6105,0.0982159433956
135.6155,0.0982158671818
135.6205,0.0982157924207
135.6255,0.0982157190846
135.6305,0.0982156471463
135.6355,0.0982155765793
135.6405,0.0982155073573
135.6455,0.0982154394547
135.6505,0.0982153728464
135.6555,0.0982153075077
135.6605,0.0982152434144
135.6655,0.0982151805427
135.6705,0.0982151188693
135.6755,0.0982150583715
135.6805,0.0982149990268
135.6855,0.0982149408132
135.6905,0.0982148837091
135.6955,0.0982148276934
135.7005,0.0982147727454
135.7055,0.0982147188447
135.7105,0.0982146659712
135.7155,0.0982146141056
135.7205,0.0982145632284
135.7255,0.0982145133209
135.7305,0.0982144643646
135.7355,0.0982144163414
135.7405,0.0982143692334
135.7455,0.0982143230232
135.7505,0.0982142776937
135.7555,0.0982142332281
135.7605,0.0982141896099
135.7655,0.098214146823
135.7705,0.0982141048515
135.7755,0.0982140636799
135.7805,0.0982140232929
135.7855,0.0982139836755
135.7905,0.0982139448131
135.7955,0.0982139066913
135.8005,0.098213869296
135.8055,0.0982138326133
135.8105,0.0982137966296
135.8155,0.0982137613315
135.8205,0.0982137267061
135.8255,0.0982136927405
135.8305,0.0982136594221
135.8355,0.0982136267386
135.8405,0.0982135946778
135.8455,0.0982135632279
135.8505,0.0982135323772
135.8555,0.0982135021144
135.8605,0.0982134724282
135.8655,0.0982134433075
135.8705,0.0982134147417
135.8755,0.0982133867201
135.8805,0.0982133592324
135.8855,0.0982133322684
135.8905,0.0982133058181
135.8955,0.0982132798716
135.9005,0.0982132544195
135.9055,0.0982132294522
135.9105,0.0982132049606
135.9155,0.0982131809355
135.9205,0.0982131573681
135.9255,0.0982131342496
135.9305,0.0982131115715
135.9355,0.0982130893254
135.9405,0.098213067503
135.9455,0.0982130460963
135.9505,0.0982130250973
135.9555,0.0982130044983
135.9605,0.0982129842916
135.9655,0.0982129644698
135.9705,0.0982129450255
135.9755,0.0982129259515
135.9805,0.0982129072408
135.9855,0.0982128888864
135.9905,0.0982128708816
135.9955,0.0982128532197
136.0005,0.0982128358941
136.0055,0.0982128188984
136.0105,0.0982128022265
136.0155,0.0982127858719
136.0205,0.0982127698289
136.0255,0.0982127540913
136.0305,0.0982127386534
136.0355,0.0982127235094
136.0405,0.0982127086538
136.0455,0.0982126940811
136.0505,0.0982126797859
136.0555,0.0982126657628
136.0605,0.0982126520068
136.0655,0.0982126385126
136.0705,0.0982126252754
136.0755,0.0982126122902
136.0805,0.0982125995522
136.0855,0.0982125870568
136.0905,0.0982125747993
136.0955,0.0982125627751
136.1005,0.0982125509799
136.1055,0.0982125394092
136.1105,0.0982125280588
136.1155,0.0982125169245
136.1205,0.0982125060021
136.1255,0.0982124952878
136.1305,0.0982124847774
136.1355,0.098212474467
136.1405,0.098212464353
136.1455,0.0982124544316
136.1505,0.098212444699
136.1555,0.0982124351517
136.1605,0.0982124257861
136.1655,0.0982124165989
136.1705,0.0982124075866
136.1755,0.0982123987459
136.1805,0.0982123900734
136.1855,0.0982123815661
136.1905,0.0982123732208
136.1955,0.0982123650344
136.2005,0.0982123570038
136.2055,0.0982123491261
136.2105,0.0982123413985
136.2155,0.0982123338179
136.2205,0.0982123263817
136.2255,0.0982123190872
136.2305,0.0982123119315
136.2355,0.0982123049121
136.2405,0.0982122980263
136.2455,0.0982122912717
136.2505,0.0982122846457
136.2555,0.098212278146
136.2605,0.09821227177
136.2655,0.0982122655155
136.2705,0.0982122593801
136.2755,0.0982122533616
136.2805,0.0982122474577
136.2855,0.0982122416663
136.2905,0.0982122359852
136.2955,0.0982122304124
136.3005,0.0982122249458
136.3055,0.0982122195833
136.3105,0.098212214323
136.3155,0.098212209163
136.3205,0.0982122041013
136.3255,0.0982121991361
136.3305,0.0982121942655
136.3355,0.0982121894878
136.3405,0.0982121848012
136.3455,0.0982121802039
136.3505,0.0982121756943
