y,theta,thetaMatrix
0.3455,0.0225688,0.339644
0.3465,0.0225848,0.339805
0.3475,0.0226006,0.339964
0.3485,0.0226163,0.340123
0.3495,0.0226318,0.340281
0.3505,0.0226473,0.340438
0.3515,0.0226626,0.340594
0.3525,0.0226779,0.340749
0.3535,0.022693,0.340904
0.3545,0.022708,0.341058
0.3555,0.0227229,0.341211
0.3565,0.0227377,0.341363
0.3575,0.0227524,0.341514
0.3585,0.022767,0.341664
0.3595,0.0227814,0.341814
0.3605,0.0227958,0.341962
0.3615,0.0228101,0.34211
0.3625,0.0228242,0.342257
0.3635,0.0228383,0.342404
0.3645,0.0228523,0.342549
0.3655,0.0228661,0.342693
0.3665,0.0228799,0.342837
0.3675,0.0228936,0.342979
0.3685,0.0229072,0.343121
0.3695,0.0229206,0.343261
0.3705,0.022934,0.343401
0.3715,0.0229473,0.343539
0.3725,0.0229605,0.343676
0.3735,0.0229736,0.343812
0.3745,0.0229867,0.343946
0.3755,0.0229996,0.344079
0.3765,0.0230124,0.34421
0.3775,0.0230252,0.34434
0.3785,0.0230379,0.344467
0.3795,0.0230505,0.344592
0.3805,0.023063,0.344715
0.3815,0.0230754,0.344835
0.3825,0.0230877,0.344952
0.3835,0.0231,0.345066
0.3845,0.0231121,0.345176
0.3855,0.0231242,0.345283
0.3865,0.0231362,0.345385
0.3875,0.0231481,0.345483
0.3885,0.02316,0.345576
0.3895,0.0231718,0.345663
0.3905,0.0231835,0.345745
0.3915,0.0231951,0.345821
0.3925,0.0232066,0.345889
0.3935,0.0232181,0.345951
0.3945,0.0232295,0.346005
0.3955,0.0232408,0.346052
0.3965,0.0232521,0.346089
0.3975,0.0232633,0.346118
0.3985,0.0232744,0.346138
0.3995,0.0232854,0.346148
