#Time flux(top) flux(bottom)
31233548.47 -2.940026574e-07 3.9180314e-08
31242324.22 -2.961105881e-07 3.9160562e-08
31250986.9 -2.981958608e-07 3.914106098e-08
31259604.9 -3.002622697e-07 3.912165718e-08
31268112.1 -3.023100868e-07 3.910249968e-08
31276550.38 -3.043364136e-07 3.908349441e-08
31284893.53 -3.063431226e-07 3.906470061e-08
31293163.88 -3.083297502e-07 3.904606814e-08
31301390.27 -3.103024164e-07 3.90275322e-08
31309532.88 -3.122598078e-07 3.900918267e-08
31317613.86 -3.141998111e-07 3.89909698e-08
31325618.53 -3.161233193e-07 3.897292684e-08
31333559.89 -3.180301314e-07 3.895502463e-08
31341432.67 -3.199211722e-07 3.893727517e-08
31349244.55 -3.21796731e-07 3.891966127e-08
31356994.33 -3.236575818e-07 3.89021858e-08
31364687.2 -3.255042005e-07 3.888483715e-08
31372323.28 -3.273372235e-07 3.886761515e-08
31379867.81 -3.29152508e-07 3.885059836e-08
31387369.7 -3.309517464e-07 3.883367651e-08
31394807.73 -3.327382497e-07 3.881689761e-08
31402203.99 -3.345121214e-07 3.880021189e-08
31409549.02 -3.362748725e-07 3.87836408e-08
31416853.95 -3.380267021e-07 3.876715931e-08
31424075.64 -3.397637829e-07 3.875086482e-08
31431268.06 -3.414874099e-07 3.873463566e-08
31438406.87 -3.432011262e-07 3.871852681e-08
31445480.38 -3.449006227e-07 3.870256474e-08
31452519.61 -3.465882122e-07 3.868667948e-08
31459515.9 -3.482665679e-07 3.867089069e-08
31466447.72 -3.499320798e-07 3.865524696e-08
31473352.29 -3.515866241e-07 3.863966442e-08
31480216.92 -3.532331328e-07 3.862417173e-08
31487021.4 -3.548676735e-07 3.860881455e-08
31493803.15 -3.564923037e-07 3.859350849e-08
31500515.21 -3.58105882e-07 3.85783596e-08
31507213.13 -3.597094353e-07 3.856324254e-08
31513873.18 -3.613067705e-07 3.854821088e-08
31520481.26 -3.628933626e-07 3.853329656e-08
31527072.28 -3.644716988e-07 3.85184208e-08
31533597.68 -3.660401492e-07 3.85036932e-08
31540117.78 -3.6760012e-07 3.848897771e-08
31546567.24 -3.691510092e-07 3.847442182e-08
31553018.43 -3.706936577e-07 3.845986224e-08
31559397.55 -3.722278949e-07 3.844546555e-08
31565749.24 -3.737502347e-07 3.843113104e-08
31572071.85 -3.752658169e-07 3.841686248e-08
31578348.04 -3.767723708e-07 3.8402699e-08
31584616.3 -3.782724249e-07 3.838855383e-08
31590827.45 -3.797647014e-07 3.837453791e-08
31597009.42 -3.812466602e-07 3.836058828e-08
31603171.93 -3.827228027e-07 3.834668301e-08
31609288.78 -3.841911583e-07 3.833288127e-08
31615372.7 -3.856501157e-07 3.831915434e-08
31621443.67 -3.871035879e-07 3.830545715e-08
31627468.81 -3.885500313e-07 3.829186395e-08
31633464.99 -3.899875297e-07 3.827833668e-08
31639450.5 -3.914202897e-07 3.826483407e-08
31645392.29 -3.928465463e-07 3.825143074e-08
31651306.73 -3.942643042e-07 3.823808974e-08
31657181.75 -3.956740781e-07 3.822483834e-08
31663056.36 -3.970790889e-07 3.821158857e-08
31668884.8 -3.984785294e-07 3.819844364e-08
31674692.12 -3.99869924e-07 3.818534707e-08
31680460.05 -4.012540824e-07 3.81723401e-08
31686201.8 -4.026303999e-07 3.815939291e-08
31691938.66 -4.040030032e-07 3.814645754e-08
31697638.03 -4.05370538e-07 3.813360751e-08
31703315.87 -4.067310143e-07 3.812080685e-08
31708959.81 -4.080848626e-07 3.810808343e-08
31714578.5 -4.094316386e-07 3.809541778e-08
31720167.15 -4.10771803e-07 3.808282071e-08
31725760.26 -4.12108908e-07 3.807021447e-08
31731315.88 -4.134420637e-07 3.805769361e-08
31736855.95 -4.147688777e-07 3.804520869e-08
31742363.57 -4.16089951e-07 3.803279784e-08
31747850.17 -4.174046302e-07 3.802043526e-08
31753308.47 -4.187134126e-07 3.800813739e-08
31758744.38 -4.200161326e-07 3.799589094e-08
31764154.76 -4.213131224e-07 3.798370293e-08
31769542.79 -4.226043874e-07 3.797156626e-08
31774907.28 -4.238901648e-07 3.795948358e-08
31780249.97 -4.251705198e-07 3.794745101e-08
31785570.51 -4.2644562e-07 3.793546929e-08
31790870.11 -4.277155675e-07 3.792353576e-08
31796148.75 -4.289805038e-07 3.791165043e-08
31801407.09 -4.302405072e-07 3.789981183e-08
31806645.61 -4.314957138e-07 3.788801887e-08
31811864.8 -4.327462376e-07 3.787627051e-08
31817064.94 -4.339921713e-07 3.786456605e-08
31822246.81 -4.352336439e-07 3.785290376e-08
31827410.55 -4.364707634e-07 3.784128336e-08
31832556.75 -4.377036166e-07 3.78297035e-08
31837685.84 -4.389323267e-07 3.781816321e-08
31842798.24 -4.401569958e-07 3.780666155e-08
31847894.53 -4.413777428e-07 3.779519724e-08
31852974.96 -4.425946665e-07 3.77837697e-08
31858040.24 -4.43807882e-07 3.777237736e-08
31863090.61 -4.450175028e-07 3.776101966e-08
31868126.61 -4.462236223e-07 3.77496954e-08
31873118.65 -4.474227666e-07 3.773847111e-08
31878104.03 -4.486158576e-07 3.772726293e-08
31883064.69 -4.49805197e-07 3.771611143e-08
31888017.03 -4.509905852e-07 3.770497979e-08
31892951.92 -4.521728913e-07 3.769388851e-08
31897877.27 -4.533519702e-07 3.768281982e-08
31902788.94 -4.545282732e-07 3.7671783e-08
31907661.75 -4.556982934e-07 3.766083468e-08
31912528.91 -4.568629907e-07 3.76499002e-08
31917375.17 -4.580245129e-07 3.763901384e-08
31922214.86 -4.591827505e-07 3.762814339e-08
31927040.66 -4.603385422e-07 3.761730531e-08
31931831.66 -4.614885106e-07 3.760654657e-08
31936617.33 -4.626336811e-07 3.759580094e-08
31941384.55 -4.637760077e-07 3.758509794e-08
31946146.5 -4.649154967e-07 3.757440795e-08
31950896.73 -4.660529554e-07 3.756374543e-08
31955612.84 -4.671849329e-07 3.755316069e-08
31960325.77 -4.683124499e-07 3.754258427e-08
31965021.98 -4.69437587e-07 3.753204658e-08
31969715.04 -4.705603474e-07 3.752151714e-08
31974369.88 -4.716781608e-07 3.751107465e-08
31979026.26 -4.727915887e-07 3.750062988e-08
31983664.65 -4.739030497e-07 3.749022668e-08
31988303.04 -4.750123588e-07 3.747982468e-08
31992902.44 -4.761170064e-07 3.74695113e-08
31997505.88 -4.772174747e-07 3.745919008e-08
32002092.1 -4.783163666e-07 3.744890867e-08
32006652.56 -4.79410118e-07 3.743868623e-08
32011208.8 -4.80500285e-07 3.742847443e-08
32015754.32 -4.815886665e-07 3.741828787e-08
32020271.49 -4.826723744e-07 3.740816607e-08
32024787.55 -4.837525607e-07 3.739804793e-08
32029292 -4.84831226e-07 3.738795705e-08
32033770.14 -4.859053563e-07 3.737792629e-08
32038247.21 -4.869762132e-07 3.736789915e-08
32042714.16 -4.880457314e-07 3.735789589e-08
32047154.77 -4.8911089e-07 3.734795282e-08
32051595.74 -4.901729415e-07 3.733801018e-08
32056027.33 -4.912339141e-07 3.732808974e-08
32060432.76 -4.92290638e-07 3.731822907e-08
32064839.93 -4.933444416e-07 3.730836573e-08
32069238.67 -4.943974449e-07 3.729852248e-08
32073610.85 -4.954462633e-07 3.72887399e-08
32077986.55 -4.964923269e-07 3.727895064e-08
32082326.85 -4.975345797e-07 3.726924178e-08
32086675.7 -4.98573621e-07 3.725951504e-08
32091012.64 -4.9961226e-07 3.724981615e-08
32095327.18 -5.006467968e-07 3.724016857e-08
32099644.39 -5.016789735e-07 3.723051626e-08
32103928.32 -5.027074906e-07 3.722093954e-08
32108221.46 -5.037331301e-07 3.721134348e-08
32112478.03 -5.047554967e-07 3.720183036e-08
32116746.28 -5.057748876e-07 3.719229235e-08
32121002.96 -5.067942914e-07 3.718278144e-08
32125239.65 -5.078099213e-07 3.717331639e-08
32129480.2 -5.088236225e-07 3.716384395e-08
32133688.75 -5.098339579e-07 3.71544442e-08
32137908.61 -5.108418205e-07 3.71450204e-08
32142091.99 -5.11846673e-07 3.71356793e-08
32146290.11 -5.128489259e-07 3.712630648e-08
32150450.37 -5.138484138e-07 3.711701943e-08
32154626.77 -5.148453038e-07 3.710769755e-08
32158765.17 -5.15839581e-07 3.709846168e-08
32162920.48 -5.168313361e-07 3.708918931e-08
32167037.97 -5.178205902e-07 3.708000253e-08
32171173.01 -5.188074205e-07 3.707077782e-08
32175270.39 -5.197918466e-07 3.706163831e-08
32179386.06 -5.207739567e-07 3.705245923e-08
32183464.03 -5.217537452e-07 3.704336544e-08
32187561.11 -5.227313109e-07 3.703423023e-08
32191620.44 -5.237066471e-07 3.702518042e-08
32195699.89 -5.246798753e-07 3.701608695e-08
32199741.13 -5.256509408e-07 3.700707986e-08
32203803.79 -5.266199986e-07 3.699802623e-08
32207827.68 -5.27586982e-07 3.698906021e-08
32211849.16 -5.285490403e-07 3.698010076e-08
32215863.23 -5.295099245e-07 3.697115902e-08
32219859.24 -5.304677622e-07 3.696225872e-08
32223862.48 -5.314243057e-07 3.695334349e-08
32227838.79 -5.323784937e-07 3.694448946e-08
32231830.42 -5.333312923e-07 3.69356025e-08
32235789.83 -5.34282071e-07 3.692678847e-08
32239744.48 -5.352284278e-07 3.691798622e-08
32243695.59 -5.361737922e-07 3.690919305e-08
32247627.81 -5.371164742e-07 3.690044311e-08
32251570.47 -5.380581457e-07 3.689167113e-08
32255485.71 -5.389977868e-07 3.688296135e-08
32259394.38 -5.399333634e-07 3.687426736e-08
32263302.23 -5.408680564e-07 3.686557639e-08
32267190.61 -5.418003225e-07 3.685692991e-08
32271091.55 -5.427317626e-07 3.684825667e-08
32274964.75 -5.436613882e-07 3.68396463e-08
32278832.41 -5.445870339e-07 3.683104942e-08
32282700.52 -5.455120707e-07 3.682245273e-08
32286549.19 -5.464348364e-07 3.681390043e-08
32290387.47 -5.473540347e-07 3.680537239e-08
32294229.61 -5.482724528e-07 3.679683693e-08
32298050.92 -5.49188842e-07 3.678834893e-08
32301863.89 -5.501017423e-07 3.677988063e-08
32305679.89 -5.510140084e-07 3.677140675e-08
32309476.37 -5.519243028e-07 3.67629774e-08
32313264.45 -5.528312575e-07 3.675456788e-08
32317056.46 -5.537376784e-07 3.674615077e-08
32320829.11 -5.546422547e-07 3.673777782e-08
32324593.8 -5.55543563e-07 3.67294237e-08
32328363.14 -5.564444758e-07 3.672106041e-08
32332113.26 -5.573436468e-07 3.671274093e-08
32335855.68 -5.582395983e-07 3.670443969e-08
32339603.79 -5.591353094e-07 3.669612699e-08
32343332.56 -5.600293881e-07 3.668785834e-08
32347053.96 -5.609202735e-07 3.667960717e-08
32350782.15 -5.618110895e-07 3.667134212e-08
32354490.8 -5.627003796e-07 3.666312155e-08
32358192.31 -5.635864806e-07 3.665491792e-08
32361877.15 -5.644697352e-07 3.66467524e-08
32365573.7 -5.653523944e-07 3.663856211e-08
32369247.87 -5.662337789e-07 3.66304225e-08
32372918.11 -5.67112018e-07 3.662229277e-08
32376570.75 -5.679876818e-07 3.661420315e-08
32380236.1 -5.688627602e-07 3.660608654e-08
32383879.29 -5.697367089e-07 3.659802011e-08
32387519.48 -5.706076498e-07 3.658996148e-08
32391142.52 -5.714761799e-07 3.658194194e-08
32394778.76 -5.723442379e-07 3.657389432e-08
32398393.51 -5.732113054e-07 3.656589537e-08
32402005.61 -5.740754867e-07 3.655790342e-08
32405600.98 -5.749373499e-07 3.654994962e-08
32409210.51 -5.75798906e-07 3.654196561e-08
32412798.72 -5.766596061e-07 3.65340299e-08
32416384.78 -5.775174985e-07 3.652610006e-08
32419954.18 -5.783731427e-07 3.651820816e-08
32423539.32 -5.792286769e-07 3.651028261e-08
32427102.88 -5.800835121e-07 3.650240587e-08
32430664.85 -5.809355771e-07 3.649453376e-08
32434209.94 -5.817854334e-07 3.648670008e-08
32437748.67 -5.826325102e-07 3.647888156e-08
32441296.01 -5.834798563e-07 3.647104512e-08
32444827.36 -5.843263195e-07 3.646324513e-08
32448354.31 -5.851703451e-07 3.645545594e-08
32451867.29 -5.860121751e-07 3.644769872e-08
32455372.85 -5.86851446e-07 3.643995899e-08
32458888.93 -5.876910873e-07 3.643219715e-08
32462388.7 -5.885300367e-07 3.642447239e-08
32465885.12 -5.893666346e-07 3.641675616e-08
32469367.57 -5.902011621e-07 3.640907181e-08
32472843.1 -5.910331916e-07 3.640140386e-08
32476307.19 -5.918630254e-07 3.639376221e-08
32479785.03 -5.926931353e-07 3.638609136e-08
32483245.4 -5.935228002e-07 3.63784601e-08
32486704.35 -5.943502068e-07 3.637083308e-08
32490149.07 -5.951757413e-07 3.636323851e-08
32493588.06 -5.959988897e-07 3.635565766e-08
32497015.72 -5.968199984e-07 3.634810286e-08
32500436.38 -5.976389151e-07 3.634056456e-08
32503868.33 -5.984583442e-07 3.633300248e-08
32507285.71 -5.992773811e-07 3.632547356e-08
32510701.07 -6.000944346e-07 3.631795018e-08
32514103.94 -6.00909753e-07 3.631045538e-08
32517501.08 -6.017228927e-07 3.630297427e-08
32520887.99 -6.025341234e-07 3.629551677e-08
32524268.06 -6.033433127e-07 3.628807538e-08
32527639.35 -6.041506351e-07 3.628065438e-08
32531024.48 -6.04958562e-07 3.627320399e-08
32534394.75 -6.057663672e-07 3.626578736e-08
32537764.56 -6.065723398e-07 3.625837283e-08
32541122.13 -6.073767932e-07 3.625098627e-08
32544474.93 -6.081792135e-07 3.624361127e-08
32547817.88 -6.089798866e-07 3.623625896e-08
32551154.65 -6.097786423e-07 3.622892133e-08
32554482.99 -6.1057565e-07 3.622160327e-08
32557804.79 -6.113708688e-07 3.621430063e-08
32561119.1 -6.121644095e-07 3.620701551e-08
32564448.17 -6.129588191e-07 3.6199699e-08
32567763.53 -6.137533542e-07 3.619241366e-08
32571079.35 -6.145463046e-07 3.618512837e-08
32574383.85 -6.153379562e-07 3.617786899e-08
32577684.37 -6.161277788e-07 3.617061939e-08
32580975.74 -6.169160322e-07 3.616339091e-08
32584261.56 -6.177025273e-07 3.615617568e-08
32587539.6 -6.184874272e-07 3.614897857e-08
32590811.61 -6.19270676e-07 3.614179572e-08
32594076.66 -6.200523729e-07 3.613462916e-08
32597335.62 -6.208325084e-07 3.612747702e-08
32600588.11 -6.216111419e-07 3.612034008e-08
32603834.61 -6.223882865e-07 3.611321732e-08
32607075.02 -6.231639856e-07 3.610610894e-08
32610309.6 -6.239382594e-07 3.609901435e-08
32613538.38 -6.24711143e-07 3.609193351e-08
32616761.51 -6.254826563e-07 3.608486609e-08
32619979.05 -6.262528262e-07 3.60778119e-08
32623191.11 -6.270216722e-07 3.607077077e-08
32626397.8 -6.277892208e-07 3.606374238e-08
32629599.17 -6.285554912e-07 3.60567267e-08
32632795.33 -6.293205021e-07 3.60497234e-08
32635986.38 -6.300842795e-07 3.604273232e-08
32639172.38 -6.308468419e-07 3.603575329e-08
32642353.42 -6.316082076e-07 3.602878613e-08
32645529.57 -6.323683947e-07 3.602183068e-08
32648700.91 -6.331274214e-07 3.601488677e-08
32651867.5 -6.338853054e-07 3.600795423e-08
32655029.49 -6.346420716e-07 3.600103276e-08
32658186.82 -6.353977305e-07 3.599412247e-08
32661339.69 -6.361522994e-07 3.598722294e-08
32664488.11 -6.369058028e-07 3.598033413e-08
32667632.16 -6.376582508e-07 3.597345588e-08
32670771.9 -6.384096603e-07 3.596658804e-08
32673907.4 -6.391600483e-07 3.595973044e-08
32677038.74 -6.399094316e-07 3.595288294e-08
32680166.03 -6.406578338e-07 3.594604525e-08
32683289.3 -6.414052715e-07 3.593921734e-08
32686408.61 -6.42151754e-07 3.593239907e-08
32689524.03 -6.428972977e-07 3.592559028e-08
32692635.69 -6.436419258e-07 3.591879069e-08
32695743.52 -6.443856473e-07 3.591200042e-08
32698847.73 -6.451284782e-07 3.590521905e-08
32701948.31 -6.458704413e-07 3.589844658e-08
32705045.33 -6.466115454e-07 3.589168285e-08
32708138.86 -6.473518063e-07 3.588492772e-08
32711228.96 -6.480912395e-07 3.587818104e-08
32714315.7 -6.488298604e-07 3.587144268e-08
32717399.14 -6.495676845e-07 3.586471248e-08
32720479.28 -6.503047202e-07 3.585799044e-08
